Run ID,Topology Nodes Count,Topology File,App Count,Allocation Method,Allocated Count,Simple Node Allocations,Cloud Allocations,Utilized Simple Nodes,Total CPU (MIPS),Total RAM (GB),Total Storage (GB),Total Bandwidth (Gbps),Total Latency (s),Total Makespan (s),Total Workload (WU),Total Energy (W),Total Cost (€)
Simulation Run 001,101,Topology\topology_n100_1.graphml,500,PSO,500,471,29,79,299013,525,618,466,101,106,324648,452,2295
Simulation Run 002,101,Topology\topology_n100_1.graphml,1000,PSO,1000,800,200,79,593292,1047,1239,2296,203,185,647904,831,4485
Simulation Run 003,101,Topology\topology_n100_1.graphml,5000,PSO,5000,998,4002,79,3020360,5452,6126,40389,1004,19674,3285740,3145,22994
Simulation Run 004,101,Topology\topology_n100_1.graphml,15000,PSO,9048,1039,8009,79,5425916,9642,11027,80476,1814,41705,5875985,5366,40581
Simulation Run 005,101,Topology\topology_n100_1.graphml,20000,PSO,9071,1045,8026,79,5429273,9712,11006,80643,1818,42157,5887011,5398,40855
