Run ID,Topology Nodes Count,Topology File,App Count,Allocation Method,Allocated Count,Simple Node Allocations,Cloud Allocations,Utilized Simple Nodes,Total CPU (MIPS),Total RAM (GB),Total Storage (GB),Total Bandwidth (Gbps),Total Latency (s),Total Makespan (s),Total Workload (WU),Total Energy (W),Total Cost (€)
Simulation Run 001,51,Topology\topology_n50_1.graphml,2000,PSO,2000,390,1610,39,1186456,2162,2467,16225,401,6441,1307446,1270,9282
Simulation Run 002,101,Topology\topology_n100_1.graphml,2000,PSO,2000,835,1165,79,1201760,2164,2451,11954,403,3644,1309127,1385,8933
Simulation Run 003,201,Topology\topology_n200_1.graphml,2000,PSO,2000,1485,515,159,1173956,2165,2409,5757,404,167,1292433,1562,8990
Simulation Run 004,301,Topology\topology_n300_1.graphml,2000,PSO,2000,1743,257,239,1203134,2150,2422,3278,405,117,1300846,1657,8969
Simulation Run 005,401,Topology\topology_n400_1.graphml,2000,PSO,2000,1908,92,318,1201221,2159,2429,1702,405,111,1303670,1745,9112
