Run ID,Topology Nodes Count,Topology File,App Count,Allocation Method,Allocated Count,Simple Node Allocations,Cloud Allocations,Utilized Simple Nodes,Total CPU (MIPS),Total RAM (GB),Total Storage (GB),Total Bandwidth (Gbps),Total Latency (s),Total Makespan (s),Total Workload (WU),Total Energy (W),Total Cost (€)
Simulation Run 001,101,Topology\topology_n100_1.graphml,500,Neighbor-Aware,500,500,0,52,303857,539,606,186,102,199,326691,442,2186
Simulation Run 002,101,Topology\topology_n100_1.graphml,1000,Neighbor-Aware,1000,997,3,79,601133,1064,1220,395,204,285,649881,903,4522
Simulation Run 003,101,Topology\topology_n100_1.graphml,5000,Neighbor-Aware,5000,1001,3999,79,3005711,5376,6092,40358,1004,21838,3258910,3173,22969
Simulation Run 004,101,Topology\topology_n100_1.graphml,15000,Neighbor-Aware,9018,997,8021,79,5387017,9665,10984,80576,1807,43702,5860096,5352,40545
Simulation Run 005,101,Topology\topology_n100_1.graphml,20000,Neighbor-Aware,8986,980,8006,79,5372017,9663,10949,80416,1801,43652,5848078,5341,40634
